Designator,Mid X,Mid Y,Rotation,Layer
C1,265.176,-212.852,90.0,top
C10,205.994,-149.352,0.0,bottom
C11,205.74,-359.41,0.0,bottom
C12,265.938,-365.252,180.0,bottom
C13,265.938,-155.194,180.0,bottom
C16,242.443,-196.088,0.0,top
C18,270.78,-242.57,180.0,top
C19,272.542,-219.202,180.0,bottom
C2,261.62,-203.454,90.0,top
C21,240.03,-96.52,90.0,top
C22,236.474,-291.084,90.0,top
C23,237.998,-96.52,90.0,top
C24,238.506,-291.084,90.0,top
C26,218.681,-191.038,0.0,top
C27,218.681,-192.532,0.0,top
C28,214.63,-185.166,90.0,top
C29,219.456,-179.057,90.0,top
C3,259.334,-203.5,90.0,top
C30,206.502,-185.674,270.0,top
C31,211.074,-175.26,0.0,top
C32,214.122,-175.26,180.0,top
C33,212.598,-171.196,270.0,top
C4,247.25,-215.75,0.0,top
C5,242.443,-194.056,180.0,top
C6,265.938,-50.038,180.0,bottom
C7,205.994,-44.45,0.0,bottom
C8,265.938,-260.604,180.0,bottom
C9,205.994,-254.254,0.0,bottom
D4,238.76,-215.392,90.0,top
D5,208.026,-192.278,90.0,top
D6,211.582,-185.674,270.0,top
D7,215.9,-165.354,270.0,top
J3,208.28,-215.82,270.0,top
J5,279.4,-215.9,90.0,top
J6,207.264,-168.651,270.0,top
J7,280.96845,-241.8334,90.0,top
J8,208.28,-202.438,270.0,top
J9,279.4,-202.438,90.0,top
L1,210.82,-180.086,180.0,top
R10,210.566,-149.352,180.0,bottom
R11,210.82,-359.41,180.0,bottom
R12,265.938,-359.41,180.0,bottom
R13,265.938,-149.352,180.0,bottom
R17,269.494,-216.1032,270.0,bottom
R18,270.78,-244.602,180.0,top
R20,266.192,-233.299,90.0,top
R22,238.76,-211.328,270.0,top
R23,275.844,-243.84,180.0,top
R24,217.932,-179.057,270.0,top
R25,218.694,-176.517,0.0,top
R26,220.98,-175.26,90.0,top
R27,209.55,-185.674,270.0,top
R28,217.678,-166.878,90.0,top
R29,234.188,-100.584,0.0,top
R30,234.188,-102.616,0.0,top
R31,280.924,-250.444,180.0,top
R32,275.844,-240.852,180.0,top
R33,275.844,-238.76,0.0,bottom
R34,275.844,-246.888,0.0,bottom
R5,269.494,-219.964,90.0,bottom
R6,265.938,-44.45,180.0,bottom
R7,210.312,-44.45,180.0,bottom
R8,265.938,-254.762,180.0,bottom
R9,210.566,-254.254,180.0,bottom
SW1,268.732,-226.06,180.0,top
U1,244.856,-205.232,90.0,top
U10,265.92,-362.292,0.0,bottom
U11,265.92,-152.292,0.0,bottom
U14,218.567,-185.039,90.0,top
U15,215.392,-170.688,270.0,top
U2,243.84,-108.712,270.0,top
U3,245.11,-302.768,270.0,top
U4,265.92,-47.292,0.0,bottom
U5,205.92,-47.292,180.0,bottom
U6,265.92,-257.556,0.0,bottom
U7,205.92,-257.292,180.0,bottom
U8,205.92,-152.292,180.0,bottom
U9,205.74,-362.292,180.0,bottom
Y1,269.748,-207.772,270.0,top
